symbol,grammar_cell,parent_family,exact_decision_timestamp_overlaps
PF_ALGOUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation,KDA02,0
PF_ALGOUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation,KDA03,0
PF_ALGOUSD,trade_downside+mark_downside+structural_rejection+oi+basis_level,KDA01,39
PF_ALGOUSD,trade_downside+mark_downside+structural_rejection+oi+basis_level,KDA02,0
PF_ALGOUSD,trade_downside+mark_downside+structural_rejection+oi+basis_level,KDA03,0
PF_ALGOUSD,trade_downside+mark_downside+structural_rejection+oi+basis_change,KDA01,0
PF_ALGOUSD,trade_downside+mark_downside+structural_rejection+oi+basis_change,KDA02,0
PF_ALGOUSD,trade_downside+mark_downside+structural_rejection+oi+basis_change,KDA03,0
PF_ALGOUSD,trade_downside+mark_downside+structural_rejection+oi+breadth,KDA01,25
PF_ALGOUSD,trade_downside+mark_downside+structural_rejection+oi+breadth,KDA02,0
PF_ALGOUSD,trade_downside+mark_downside+structural_rejection+oi+breadth,KDA03,0
PF_ALGOUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,KDA01,0
PF_ALGOUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,KDA02,0
PF_ALGOUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,KDA03,0
PF_ALICEUSD,trade_downside+mark_downside+structural_rejection,KDA01,0
PF_ALICEUSD,trade_downside+mark_downside+structural_rejection,KDA02,0
PF_ALICEUSD,trade_downside+mark_downside+structural_rejection,KDA03,0
PF_ALICEUSD,trade_downside+mark_downside+structural_rejection+oi,KDA01,0
PF_ALICEUSD,trade_downside+mark_downside+structural_rejection+oi,KDA02,0
PF_ALICEUSD,trade_downside+mark_downside+structural_rejection+oi,KDA03,0
PF_ALICEUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation,KDA01,0
PF_ALICEUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation,KDA02,0
PF_ALICEUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation,KDA03,0
PF_ALICEUSD,trade_downside+mark_downside+structural_rejection+oi+basis_level,KDA01,0
PF_ALICEUSD,trade_downside+mark_downside+structural_rejection+oi+basis_level,KDA02,0
PF_ALICEUSD,trade_downside+mark_downside+structural_rejection+oi+basis_level,KDA03,0
PF_ALICEUSD,trade_downside+mark_downside+structural_rejection+oi+basis_change,KDA01,0
PF_ALICEUSD,trade_downside+mark_downside+structural_rejection+oi+basis_change,KDA02,0
PF_ALICEUSD,trade_downside+mark_downside+structural_rejection+oi+basis_change,KDA03,0
PF_ALICEUSD,trade_downside+mark_downside+structural_rejection+oi+breadth,KDA01,0
PF_ALICEUSD,trade_downside+mark_downside+structural_rejection+oi+breadth,KDA02,0
PF_ALICEUSD,trade_downside+mark_downside+structural_rejection+oi+breadth,KDA03,0
PF_ALICEUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,KDA01,0
PF_ALICEUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,KDA02,0
PF_ALICEUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,KDA03,0
PF_ANKRUSD,trade_downside+mark_downside+structural_rejection,KDA01,0
PF_ANKRUSD,trade_downside+mark_downside+structural_rejection,KDA02,0
PF_ANKRUSD,trade_downside+mark_downside+structural_rejection,KDA03,0
PF_ANKRUSD,trade_downside+mark_downside+structural_rejection+oi,KDA01,0
PF_ANKRUSD,trade_downside+mark_downside+structural_rejection+oi,KDA02,0
PF_ANKRUSD,trade_downside+mark_downside+structural_rejection+oi,KDA03,0
PF_ANKRUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation,KDA01,0
PF_ANKRUSD,trade_downside+mark_downside+structural_rejection+oi+liquidation,KDA02,0
